Barrel Length  ,Harmonic  9th ,End Diameter,End Correction,Tuner Dimension ,,,,
24.241,27.271,1.341,0.354,2.676,,,,
,Harmonic  11th,,,,,,,
24.241, 	26.665 ,1.340,0.354,2.070,,,,
,Harmonic 3rd (Long Tube),,,,,,,
24.241,36.362,1.540,0.407,11.714,9.038,,,
,11th Qtr Harmonic (Short),,,,,,,
24.241,33.331,1.540,0.407,8.684,6.008,,,
,13th Qtr Harmonic (Short),,,,,,,
24.241,31.513,0.740,0.195,7.077,4.401,,,
,,,,,,,,
,,,Chacon correction   .295 +.027,,,,,
,,,Purdy Correction   .300,,,,,
,,,JMP correction   .264,,,,,
,,,,,,,,
Chacon Numbers,,,,,,,,
"27"" = 3.126",,,HellCat 1.0045,,,,,
"26"" = 3.001",,,24.241 8gr,2.676c/9.038c  2.530a/9.070,,11.600a vs 11.714c,,
"25"" = 2.876",,-0.058,24.183 8gr2, 2.669c/9.016c  2.462a/9.070,,11.531a vs 11.685c,,-0.068
"24"" = 2.751",,,25.057 Octogon ,2.886/9.237c,,,,
"23"" = 2.626",,,,,,,,
"22"" = 2.501",,,,My Tube  9.070,,,,
"21"" = 2.376",,,"24""=242(PQP) 8.953 tube ",,,,,
"20"" = 2.247",,,"24.5"" =305(PQP) 9.140 tube",,,,,
.125 = 1.00,,,"25""=369(PQP) 9.328 tube",,,,,
.048 = .375,,,,,,,,
.016 = .125,,,,,,,,
.008 = .063,,,,,,,,
,,,,,,,,
Papas Short = 8.597,,,,,,,,
Added . 027 to above,,,,,,,,
,,,,,,,,
,,,,,,,,
1053,21,,,,,,,
1056,22,,,,,,,
1060,23,,,,,,,
1063,24,,,,,,,
1066,25,,,,,,,
1070,26,,,,,,,
1073,27,,,,,,,
1076,28,,,,,,,
1079,29,,,,,,,
1083,30,,,,,,,
